Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Erlotinib,1,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,2.5125831424968088,.99083486749114713,2,.02898479596335193,-.080054630011182959,GDSC1
Erlotinib,1,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,3.350517045872325,.99081152301672604,2,.020632865916706565,.70500225585438436,GDSC1
Erlotinib,1,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,3.7107248578441419,.98638682226217966,2,.024939903476388303,1.0424794983813719,GDSC1
Erlotinib,1,HEL,907053,LAML,blood,acute_myeloid_leukaemia,.83123875875275899,.92165882620285,2,.098409139829296804,-1.655299384582398,GDSC1
Erlotinib,1,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,3.123243509143296,.98181699748996909,2,.054022330330881357,.49207059827925714,GDSC1
Erlotinib,1,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,2.7227293023666701,.98304898879522074,2,.021850412645795732,.11683045743957202,GDSC1
Erlotinib,1,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,2.873932779250687,.98506086121130565,2,.059385203042104831,.2584923835371204,GDSC1
Erlotinib,1,KY821,907300,LAML,blood,leukemia,3.1730351180817875,.98860250334840005,2,.029832505257363175,.53872015536009843,GDSC1
Erlotinib,1,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,2.7995849518863687,.98664269697806484,2,.024249650696387622,.18883620470681289,GDSC1
Erlotinib,1,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,2.2607916329354483,.95251418121272469,2,.052509852383478162,-.31595707719387767,GDSC1
Erlotinib,1,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,3.2947357929428343,.9784717289366871,2,.05011639970747362,.65274102553765301,GDSC1
Erlotinib,1,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,3.6530978972082817,.98207156772049564,2,.022691084382191303,.98848903197770888,GDSC1
Erlotinib,1,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,2.551803203295655,.99467568384635108,2,.017323547418327975,-.043309513636052781,GDSC1
Erlotinib,1,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,1.6709114947031656,.98741860846626395,2,.083969027288616799,-.86861339350842937,GDSC1
Erlotinib,1,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,2.8911761895633608,.98967846276872584,2,.032706603255348091,.27464766493489823,GDSC1
