"","CEBPA","FLT3","SRSF2","ASXL1","TP53","KRAS","WT1","STAG2","SUZ12","PHF6","IDH2","PTPN11","NRAS","SMG1","DNMT3A","NPM1","U2AF1","TET2","IDH1","SF3A1","RSPH6A","RUNX1","BRCC3","BCOR","KIT","PDS5B","MYC","BCORL1","PUF60","ZRSR2","SF3B1","IKZF1","AQR","SMC3","LRRCC1","NF1","ETV6","JAK2","CHD7","GATA2","SMC1A","KIAA0907","SETBP1","TRIO","TRPM3","CSF3R","CELSR2","TMPRSS6","ADAMTS7","TCHH","RAD21","CREBBP","NFE2","PPIL4","EZH2","EP300","TENM2","ARMC10","CACNA2D3","CBL","MYT1","KRTAP4-5","SUCO","BRAF","NEO1","ZIC3","CBFB-MYH11","RPN1-EVI1","RUNX1-RUNX1T1","MLLT3-MLL"
"OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
